Message,Sentiment
"🌆 Good evening, traders! Happy weekend! 😊

RBI kept the repo rate unchanged but slashed CRR 😲 – get all the key deets from today’s MPC meeting in our top story in The Daily Rip India 🤓

Also covered:

🚨 SEBI’s big action that sent one stock crashing 20%
📈 Stocks making moves this week

Make sure you all have subscribed to the best free daily newsletter written by our own @iYashUpadhyaya  
here: thedailyrip-in.stocktwits.com/p/hattrick-of-…",0.4145833333333333
"The Stocktwits Momentum Index closed the day with solid gains of 1.08%, outshining a flat market as Nifty 500 inched up by just 0.15%.

PB Fintech was the top gainer, with stunning 6.2% gain. RVNL (+4.8%) got its mojo back. Meanwhile, Aegis Logistics struggled as the top loser, down 3%.",0.15243055555555554
"Nifty delivered its best weekly close since June's post-election rally. However, both Nifty and Sensex ended the Friday session with minor cuts after RBI kept the repo rate unchanged.  Mid & Small caps extended their dream run to Day 11. Tata Motors posted its best day since September!

✧ $NIFTY50.NSE ▼ -0.1%         
✧ $SENSEX ▼ -0.1%         
✧ $NIFTYBANK.NSE ▼ -0.2%         
✧ $NIFTYMIDCAP100.NSE △ 0.5%         
✧ $NIFTYSMLCAP100.NSE △ 0.8%         
✧ Stocktwits India Momentum Index △ 1.1%",0.33999999999999997
🚨 Tata Motors jumps 3% – biggest gain since September!,0.0
"🚨 Delhivery gains the most in over a year

The sentiment on Stocktwits stream is ""Bullish"" 😃

FYI: Co. has reported profits for the last 2 quarters!",0.25
"SEBI RA Rohit Mehta spots a breakout of 14 years in this smallcap banking stock 💪 

More deets on his Stocktwits post 👇

http://stocktwits.com/billiondreamz/message/595168297",0.5
"Top Trending on Stocktwits right now 👇

• Nifty Bank: 0%
• NIFTY 50: -0.1%
• Nifty 100: +0.1%
• BSE: +4%
• MCX: +7.7%
• Dhani Services: +11.7%
• Sagility India: +5%
• Jio Financial: -0.6%
• Nifty Fin Services: 0%
• Swan Energy: +2.4%

See all that's trending on Stocktwits 👇
stocktwits.onelink.me/Lo6t/ugf4asuy",0.2619047619047619
"🚨 AMA Alert 🚨

Have questions about your fav stocks or sectors? 
SEBI RA Aditya Hujband is ready to tackle all your market queries. 

Ask away your questions in his post on Stocktwits 👇
http://stocktwits.com/MBA_INVESTMENTWALA/message/595352975",0.2
"After BSE, MCX (+8%) is firing up 🚀

The sentiment is ""Extremely Bullish"" on Stocktwits

What are your targets for MCX? Share on Stocktwits 👇🏻 

https://stocktwits.com/symbol/MCX.NSE",-0.125
"🚨 Paytm up 3%, hits a new 52-wk high! 

Co. to sell it's stake in Japan's PayPay to SoftBank for $250 million (approx. ₹2,000 Cr)

Earlier this year Paytm sold its ticketing biz to Zomato for ₹2,048 Cr.

FYI: Paytm's cash balance will increase to ₹12,000 Cr from ₹10,000 Cr rn after this transaction.",0.11212121212121212
"🚨 PB Fintech up 5%, touches a new all-time high

Are you holding this one? 👀",0.1481818181818182
"🚨 FIIs buy shares worth over Rs 23,500 crore since the start of December.",0.3
🚨 RBI keeps repo rate unchanged!,0.0
🚨 Nifty is trading flat ahead of key RBI MPC meet!,-0.0125
"🚨 Mobikwik IPO Alert! 

Bidding dates: 11-13 Dec
Price band: ₹265-₹279
Upper band Valuation: ₹2,165 Cr

The company plans to raise ₹572 Cr. Interestingly, this is their third IPO size revision – from a whopping ₹1,900 Cr in 2021 to ₹700 Cr earlier this year, and now ₹572 Cr.",0.125
"5 top stocks to buy for December 2024!👇

Watch now: youtu.be/l813yfZzlo8",0.5
"SEBI RA Mayank Mehraa shares bullish insight into this IT small cap company 🤑

Find all the details on Stocktwits 👇
stocktwits.onelink.me/Lo6t/xdsrqgon",-0.25
"Short-term trade ideas from SEBI RAs on Stocktwits 👇   
   
Upside: 22%   
https://stocktwits.com/aymr2504/message/595175721   
   
Upside: 19%   
https://stocktwits.com/VipinTrader/message/594987305   
   
Upside: 14%   
https://stocktwits.com/financialsarthis/message/595182484   
   
Upside: 13%   
https://stocktwits.com/finversify/message/595167291",0.0
"Bitcoin crossed $100,000 for the first time ever! 📈

In our top story in The Daily Rip India we break down Bitcoin’s crazy bullishness  🤑 and why Indian investors might be missing out on this massive rally 🥲

Also covered:
🧐 Reliance Power's rally - Hype or legit? 
🫡 Market intermediary stocks making strong moves

Make sure you all have subscribed to the best free daily newsletter
here:thedailyrip-in.stocktwits.com/p/to-the-moon",0.18252314814814816
"The Stocktwits India Momentum Index had a steady day, gaining 0.47% compared to Nifty 500's 0.77% gain.    

Top gainers were Kfin Tech & Motilal Oswal, riding on the bullish sentiment in the capital market sector. Aegis Logistics was the top laggard, down 1.5%, while rest of the stocks were range bound.",0.2527777777777777
"Nifty gained for the 5th straight day, closing near a two-month high. Positive global cues and improved market mood as FIIs turned net buyers aided the rally today. IT stocks led the charge, riding on Jerome Powell's bullish comments that lifted US markets to new peaks. Mid & small-cap rally hit Day 10. All eyes now on the RBI policy meeting tomorrow to set the tone ahead!

✧ $NIFTY50.NSE △ 1.0%          
✧ $SENSEX △ 1.0%          
✧ $NIFTYBANK.NSE △ 0.6%          
✧ $NIFTYMIDCAP100.NSE △ 0.6%          
✧ $NIFTYSMLCAP100.NSE △ 0.8%          
✧ Stocktwits India Momentum Index △ 0.5%",0.10295454545454547
"Holding shares in a new-age listed startup? 👀 

SEBI RA Sumesh Guleria has a post for you to check out on Stocktwits ⬇

stocktwits.onelink.me/Lo6t/csm5sodk",0.0
Nifty bulls reaction today 🤑,0.0
"🚨BSE is up 11%, touches new all-time high

Sentiment is ""Extremely Bullish"" on Stocktwits 😃",0.05712121212121213
"Motilal Oswal up 2% today 📈, riding the wave of bullish capital market stocks!

Will this trend continue? 👀",0.0
